freq_hz,R1_dB,R2_dB,R3_dB,R4_dB,R5_dB,R6_dB
0.000000000000000000e+00,3.502887582744817507e+01,3.127762354524035260e+01,3.288826586088048742e+01,3.231341080921953335e+01,3.260224350858881337e+01,3.316943061822927064e+01
1.944475822812443966e-01,3.542017669385871415e+01,3.186584734796837637e+01,3.338422561539567823e+01,3.284510457661888694e+01,3.311950666155859579e+01,3.364010841118795980e+01
3.888951645624887932e-01,3.635649611375223600e+01,3.323832468887452052e+01,3.458337747745841995e+01,3.411900037156869558e+01,3.434617120284993064e+01,3.474004796644519644e+01
5.833427468437332175e-01,3.567800044764815937e+01,3.227055581368183823e+01,3.370859224865931481e+01,3.319168670136487265e+01,3.345470080953690228e+01,3.396895714402859312e+01
7.777903291249775863e-01,3.674315358644146556e+01,3.407161278290094231e+01,3.519453145878284772e+01,3.480360510576075228e+01,3.499288267045281486e+01,3.532190593125879019e+01
9.722379114062219552e-01,3.467251915700466469e+01,3.089554774363131884e+01,3.246665282922650420e+01,3.188675789283998085e+01,3.218905796679977271e+01,3.282973465560029069e+01
1.166685493687466435e+00,4.011485820989876316e+01,3.822322151536619117e+01,3.905592568218702354e+01,3.878771363200008437e+01,3.891039615608272584e+01,3.905702984867085092e+01
1.361133075968710804e+00,3.833019272258017907e+01,3.597934772353554678e+01,3.694112091030731904e+01,3.659076832272396729e+01,3.676671143716498591e+01,3.711456234776855467e+01
1.555580658249955173e+00,4.289676619481791420e+01,4.192135271241223649e+01,4.237520384518218464e+01,4.224680061463099889e+01,4.229670784387917593e+01,4.229479956594619949e+01
1.750028240531199542e+00,3.331017837573079987e+01,3.082655426876706173e+01,3.183952549544216026e+01,3.154097860281013155e+01,3.166408438012998516e+01,3.178659341758870482e+01
1.944475822812443910e+00,4.816488681082794443e+01,4.743692458325809014e+01,4.777471274260137335e+01,4.767568252668002060e+01,4.771554791109288374e+01,4.772609181714014426e+01
2.138923405093688501e+00,4.609177399355642990e+01,4.531898179180259945e+01,4.560315798074496740e+01,4.548880808831670208e+01,4.554682841822003070e+01,4.569036483185593056e+01
2.333370987374932870e+00,5.720329286168745853e+01,5.705546010199515905e+01,5.712998936236207470e+01,5.710964801506690236e+01,5.711541060319333241e+01,5.711193872047167730e+01
2.527818569656177239e+00,5.974198797284554985e+01,5.988019235027333309e+01,5.982547286849887058e+01,5.984311204793708328e+01,5.983289571675777552e+01,5.982650855049149641e+01
